"id","state","year","mrdrte","exec","unem","d90","d93","cmrdrte","cexec","cunem","cexec_1","cunem_1"
1,"AL",87,9.30000019073486,2,7.80000019073486,0,0,NA,NA,NA,NA,NA
1,"AL",90,11.6000003814697,5,6.80000019073486,1,0,2.30000019073486,3,-1,NA,NA
1,"AL",93,11.6000003814697,2,7.5,0,1,0,-3,0.699999809265137,3,-1
2,"AK",87,10.1000003814697,0,10.8000001907349,0,0,NA,NA,NA,NA,NA
2,"AK",90,7.5,0,6.90000009536743,1,0,-2.60000038146973,0,-3.90000009536743,NA,NA
2,"AK",93,9,0,7.59999990463257,0,1,1.5,0,0.699999809265137,0,-3.90000009536743
3,"AZ",87,7.5,0,6.19999980926514,0,0,NA,NA,NA,NA,NA
3,"AZ",90,7.69999980926514,0,5.30000019073486,1,0,0.199999809265137,0,-0.899999618530273,NA,NA
3,"AZ",93,8.60000038146973,3,6.19999980926514,0,1,0.90000057220459,3,0.899999618530273,0,-0.899999618530273
4,"AR",87,7.59999990463257,0,8.10000038146973,0,0,NA,NA,NA,NA,NA
4,"AR",90,10.3000001907349,2,6.90000009536743,1,0,2.70000028610229,2,-1.20000028610229,NA,NA
4,"AR",93,10.1999998092651,2,6.19999980926514,0,1,-0.100000381469727,0,-0.700000286102295,2,-1.20000028610229
5,"CA",87,10.6000003814697,0,5.80000019073486,0,0,NA,NA,NA,NA,NA
5,"CA",90,11.8999996185303,0,5.59999990463257,1,0,1.29999923706055,0,-0.200000286102295,NA,NA
5,"CA",93,13.1000003814697,2,9.19999980926514,0,1,1.20000076293945,2,3.59999990463257,0,-0.200000286102295
6,"CO",87,5.80000019073486,0,7.69999980926514,0,0,NA,NA,NA,NA,NA
6,"CO",90,4.19999980926514,0,4.90000009536743,1,0,-1.60000038146973,0,-2.79999971389771,NA,NA
6,"CO",93,5.80000019073486,0,5.19999980926514,0,1,1.60000038146973,0,0.299999713897705,0,-2.79999971389771
7,"CT",87,4.90000009536743,0,3.29999995231628,0,0,NA,NA,NA,NA,NA
7,"CT",90,5.09999990463257,0,5.09999990463257,1,0,0.199999809265137,0,1.79999995231628,NA,NA
7,"CT",93,6.30000019073486,0,6.19999980926514,0,1,1.20000028610229,0,1.09999990463257,0,1.79999995231628
8,"DE",87,5.09999990463257,0,3.20000004768372,0,0,NA,NA,NA,NA,NA
8,"DE",90,5,0,5.09999990463257,1,0,-0.0999999046325684,0,1.89999985694885,NA,NA
8,"DE",93,5,0,5.30000019073486,0,1,0,0,0.200000286102295,0,1.89999985694885
9,"DC",87,36.2000007629395,0,6.30000019073486,0,0,NA,NA,NA,NA,NA
9,"DC",90,77.8000030517578,0,6.59999990463257,1,0,41.6000022888184,0,0.299999713897705,NA,NA
9,"DC",93,78.5,0,8.5,0,1,0.699996948242188,0,1.90000009536743,0,0.299999713897705
10,"FL",87,11.3999996185303,7,5.30000019073486,0,0,NA,NA,NA,NA,NA
10,"FL",90,10.6999998092651,8,5.90000009536743,1,0,-0.699999809265137,1,0.599999904632568,NA,NA
10,"FL",93,8.89999961853027,7,7,0,1,-1.80000019073486,-1,1.09999990463257,1,0.599999904632568
11,"GA",87,11.8000001907349,9,5.5,0,0,NA,NA,NA,NA,NA
11,"GA",90,11.8000001907349,2,5.40000009536743,1,0,0,-7,-0.0999999046325684,NA,NA
11,"GA",93,11.3999996185303,3,5.80000019073486,0,1,-0.40000057220459,1,0.400000095367432,-7,-0.0999999046325684
12,"HI",87,4.80000019073486,0,3.79999995231628,0,0,NA,NA,NA,NA,NA
12,"HI",90,4,0,2.79999995231628,1,0,-0.800000190734863,0,-1,NA,NA
12,"HI",93,3.79999995231628,0,4.19999980926514,0,1,-0.200000047683716,0,1.39999985694885,0,-1
13,"ID",87,3.09999990463257,0,8,0,0,NA,NA,NA,NA,NA
13,"ID",90,2.70000004768372,0,5.80000019073486,1,0,-0.399999856948853,0,-2.19999980926514,NA,NA
13,"ID",93,2.90000009536743,0,6.09999990463257,0,1,0.200000047683716,0,0.299999713897705,0,-2.19999980926514
14,"IL",87,8.30000019073486,0,7.40000009536743,0,0,NA,NA,NA,NA,NA
14,"IL",90,10.3000001907349,0,6.19999980926514,1,0,2,0,-1.20000028610229,NA,NA
14,"IL",93,11.3999996185303,0,7.40000009536743,0,1,1.09999942779541,0,1.20000028610229,0,-1.20000028610229
15,"IN",87,5.59999990463257,1,6.40000009536743,0,0,NA,NA,NA,NA,NA
15,"IN",90,6.19999980926514,0,5.30000019073486,1,0,0.599999904632568,-1,-1.09999990463257,NA,NA
15,"IN",93,7.5,0,5.30000019073486,0,1,1.30000019073486,0,0,-1,-1.09999990463257
16,"IA",87,2.09999990463257,0,5.5,0,0,NA,NA,NA,NA,NA
16,"IA",90,1.89999997615814,0,4.19999980926514,1,0,-0.199999928474426,0,-1.30000019073486,NA,NA
16,"IA",93,2.29999995231628,0,4,0,1,0.399999976158142,0,-0.199999809265137,0,-1.30000019073486
17,"KS",87,4.40000009536743,0,4.90000009536743,0,0,NA,NA,NA,NA,NA
17,"KS",90,4,0,4.40000009536743,1,0,-0.400000095367432,0,-0.5,NA,NA
17,"KS",93,6.40000009536743,0,5,0,1,2.40000009536743,0,0.599999904632568,0,-0.5
