"time","gasprice"
1990.13461538462,126.6
1990.15384615385,127.2
1990.17307692308,132.1
1990.19230769231,133.3
1990.21153846154,133.9
1990.23076923077,134.5
1990.25,133.9
1990.26923076924,133.4
1990.28846153847,132.8
1990.3076923077,132.3
1990.32692307693,131.1
1990.34615384616,134.1
1990.36538461539,119.2
1990.38461538462,116.8
1990.40384615385,113.9
1990.42307692308,110.6
1990.44230769231,107.8
1990.46153846154,105.4
1990.48076923077,102.5
1990.5,104.5
1990.51923076924,104.3
1990.53846153847,104.7
1990.5576923077,105.2
1990.57692307693,106.6
1990.59615384616,106.9
1990.61538461539,109
1990.63461538462,110.4
1990.65384615385,111.3
1990.67307692308,112.1
1990.69230769231,112.9
1990.71153846154,114
1990.73076923077,113.8
1990.75,113.5
1990.76923076924,112.6
1990.78846153847,111.4
1990.8076923077,110.4
1990.82692307693,109.8
1990.84615384616,109.4
1990.86538461539,109.1
1990.88461538462,109.1
1990.90384615385,109.9
1990.92307692308,111.2
1990.94230769231,112.4
1990.96153846154,112.4
1990.98076923077,112.7
1991,112
1991.01923076924,111
1991.03846153847,109.7
1991.0576923077,109.2
1991.07692307693,108.9
1991.09615384616,108.4
1991.11538461539,108.8
1991.13461538462,109.1
1991.15384615385,109.1
1991.17307692308,110.2
1991.19230769231,110.4
1991.21153846154,109.9
1991.23076923077,109.9
1991.25,109.1
1991.26923076924,107.5
1991.28846153847,106.3
1991.3076923077,105.3
1991.32692307693,104.2
1991.34615384616,102.6
1991.36538461539,101.4
1991.38461538462,100.6
1991.40384615385,99.5
1991.42307692308,100.4
1991.44230769231,101.1
1991.46153846154,101.4
1991.48076923077,101.2
1991.5,101.3
1991.51923076924,101
1991.53846153847,101.5
1991.5576923077,101.3
1991.57692307693,102.6
1991.59615384616,105.1
1991.61538461539,105.8
1991.63461538462,107.2
1991.65384615385,108.9
1991.67307692308,110.2
1991.69230769231,111.8
1991.71153846154,112
1991.73076923077,112.8
1991.75,114.3
1991.76923076924,115.1
1991.78846153847,115.3
1991.8076923077,114.9
1991.82692307693,114.7
1991.84615384616,113.9
1991.86538461539,113.2
1991.88461538462,112.8
1991.90384615385,112.6
1991.92307692308,112.3
1991.94230769231,111.6
1991.96153846154,112.3
1991.98076923077,112.1
1992,112.1
1992.01923076923,112.4
1992.03846153847,112.3
1992.0576923077,111.8
1992.07692307693,111.5
1992.09615384616,111.5
1992.11538461539,111.3
1992.13461538462,111.3
1992.15384615385,112
1992.17307692308,112
1992.19230769231,111.2
1992.21153846154,110.6
1992.23076923077,109.8
1992.25,108.9
1992.26923076923,107.8
1992.28846153847,107.4
1992.3076923077,106.9
1992.32692307693,106.5
1992.34615384616,106.6
1992.36538461539,106.1
1992.38461538462,105.5
1992.40384615385,105.5
1992.42307692308,106.2
1992.44230769231,105.3
1992.46153846154,104.7
1992.48076923077,104.2
1992.5,104.8
1992.51923076923,105.8
1992.53846153847,105.6
1992.5576923077,105.7
1992.57692307693,106.8
1992.59615384616,107.9
1992.61538461539,107.9
1992.63461538462,108.6
1992.65384615385,108.6
1992.67307692308,109.7
1992.69230769231,110.6
1992.71153846154,110.6
1992.73076923077,110.7
1992.75,110.4
1992.76923076923,110.1
1992.78846153847,109.5
1992.8076923077,108.9
1992.82692307693,108.6
1992.84615384616,108.1
1992.86538461539,107.5
1992.88461538462,106.9
1992.90384615385,106.2
1992.92307692308,106
1992.94230769231,105.9
1992.96153846154,106.5
1992.98076923077,106.2
1993,105.5
1993.01923076923,105.1
1993.03846153847,104.5
1993.0576923077,104.7
1993.07692307693,109.2
1993.09615384616,109
1993.11538461539,109.3
1993.13461538462,109.2
1993.15384615385,108.4
1993.17307692308,107.5
1993.19230769231,106.4
1993.21153846154,105.8
1993.23076923077,105.1
1993.25,103.6
1993.26923076923,101.8
1993.28846153847,100.3
1993.3076923077,99.9
1993.32692307693,99.2
1993.34615384616,99.5
1993.36538461539,100.1
1993.38461538462,99.9
1993.40384615385,100.5
1993.42307692308,100.7
1993.44230769231,101.6
1993.46153846154,100.9
1993.48076923077,100.4
1993.5,100.7
1993.51923076923,100.5
1993.53846153847,100.7
1993.5576923077,101.2
1993.57692307693,101.1
1993.59615384616,102.8
1993.61538461539,103.3
1993.63461538462,103.7
1993.65384615385,104
1993.67307692308,104.5
1993.69230769231,104.6
1993.71153846154,105
1993.73076923077,105.6
1993.75,106.5
1993.76923076923,107.3
1993.78846153847,107.9
1993.8076923077,109.5
1993.82692307693,109.7
1993.84615384616,110.3
1993.86538461539,110.9
1993.88461538462,111.4
1993.90384615385,113
1993.92307692308,115.7
1993.94230769231,116.1
1993.96153846154,116.5
1993.98076923077,116.1
1994,115.6
1994.01923076923,115
1994.03846153847,114
1994.0576923077,112.9
1994.07692307693,112
1994.09615384616,111.4
1994.11538461539,110.6
1994.13461538462,110.7
1994.15384615385,112.1
1994.17307692308,112.3
1994.19230769231,112.2
1994.21153846154,111.3
1994.23076923077,108.2
1994.25,107.5
1994.26923076923,106.4
1994.28846153847,105.6
1994.3076923077,104.4
1994.32692307693,106.3
1994.34615384616,107
1994.36538461539,106.2
1994.38461538462,106.8
1994.40384615385,106.8
1994.42307692308,106.2
1994.44230769231,105.8
1994.46153846154,105.2
1994.48076923077,106
1994.5,106.3
1994.51923076923,105.6
1994.53846153846,105.5
1994.5576923077,106.3
1994.57692307693,107.7
1994.59615384616,109.4
1994.61538461539,111
1994.63461538462,113.3
1994.65384615385,114.1
1994.67307692308,116.4
1994.69230769231,117.3
1994.71153846154,119.1
1994.73076923077,119.3
1994.75,119.4
1994.76923076923,119
1994.78846153846,118.3
1994.8076923077,117.7
1994.82692307693,116.9
1994.84615384616,115.9
1994.86538461539,114.8
1994.88461538462,113.8
1994.90384615385,112.6
1994.92307692308,112.4
1994.94230769231,112.1
1994.96153846154,112.2
1994.98076923077,111.3
1995,111.1
