"trt","age","educ","black","hisp","marr","nodeg","re74","re75","re78"
0,23,10,1,0,0,1,0,0,0
0,26,12,0,0,0,0,0,0,12383.68
0,22,9,1,0,0,1,0,0,0
0,34,9,1,0,0,1,NA,4368.413,14051.16
0,18,9,1,0,0,1,0,0,10740.08
0,45,11,1,0,0,1,0,0,11796.47
0,18,9,1,0,0,1,0,0,9227.052
0,27,12,1,0,0,0,NA,2483.851,3552.268
0,24,8,0,0,0,1,0,0,10569.27
0,34,11,1,0,1,1,0,0,6040.335
0,20,13,1,0,0,0,NA,8965.243,9199.563
0,24,4,0,1,0,1,0,0,3880.833
0,36,10,1,0,0,1,0,0,0
0,21,10,1,0,0,1,NA,922.5729,0
0,28,12,1,0,1,0,NA,29009.11,10067.43
0,21,14,1,0,0,0,0,0,5775.062
0,28,9,1,0,0,1,0,0,0
0,21,11,1,0,1,1,NA,7244.561,8976.826
0,27,7,1,0,1,1,0,0,0
0,18,12,0,0,0,0,NA,735.2051,2502.526
0,19,11,0,0,0,1,0,0,0
0,30,13,1,0,0,0,NA,5569.761,0
0,26,11,0,1,0,1,NA,1491.016,0
0,20,8,1,0,0,1,0,0,0
0,31,4,0,0,0,1,NA,10711.08,0
0,18,12,1,0,0,0,NA,642.6645,14444.71
0,34,12,1,0,0,0,0,0,2113.722
0,24,10,1,0,0,1,0,0,7618.639
0,22,8,0,1,0,1,0,0,9920.945
0,28,8,1,0,0,1,NA,10610.08,4623.188
0,25,11,1,0,0,1,0,0,4196.375
0,39,9,1,0,0,1,0,0,0
0,19,9,1,0,1,1,0,0,16658.25
0,44,9,1,0,0,1,0,0,9722.003
0,27,8,1,0,0,1,0,0,3783.66
0,20,11,0,0,0,1,NA,1177.118,8743.071
0,25,8,1,0,0,1,0,0,3515.929
0,31,10,1,0,0,1,0,0,17014.59
0,34,10,1,0,1,1,0,0,0
0,21,7,0,1,0,1,0,0,0
0,24,10,1,0,0,1,NA,1307.908,0
0,33,12,1,0,0,0,0,0,5970.257
0,18,10,0,1,0,1,0,0,1859.167
0,22,12,1,0,0,0,NA,532.2536,1333.445
0,26,12,1,0,1,0,0,0,6191.943
0,27,11,1,0,1,1,NA,1122.621,215.8348
0,18,9,1,0,0,1,NA,1605.448,0
0,31,12,1,0,0,0,0,0,7284.394
0,35,10,1,0,0,1,0,0,445.8309
0,28,10,1,0,0,1,NA,6567.329,5435.787
0,20,12,1,0,0,0,0,0,0
0,25,11,1,0,0,1,0,0,0
0,25,10,1,0,0,1,0,0,7367.04
0,35,11,1,0,0,1,0,0,0
0,20,10,1,0,0,1,0,0,2015.503
0,25,9,0,1,0,1,0,0,15791.13
0,27,10,1,0,0,1,0,0,1135.47
0,20,11,1,0,0,1,NA,7967.209,0
0,20,11,0,1,0,1,0,0,6378.72
0,26,11,1,0,0,1,0,0,7176.187
0,38,8,1,0,0,1,0,0,0
0,24,9,1,0,0,1,NA,9662.67,0
0,34,10,1,0,0,1,0,0,7952.54
0,22,12,1,0,0,0,NA,2158.05,0
0,28,14,1,0,0,0,NA,6539.537,3123.116
