"wage","lwage","belavg","abvavg","exper","looks","union","goodhlth","black","female","married","south","bigcity","smllcity","service","expersq","educ"
5.73000001907349,1.74571549892426,0,1,30,4,0,1,0,1,1,0,0,1,1,900,14
4.28000020980835,1.45395302772522,0,0,28,3,0,1,0,1,1,1,0,1,0,784,12
7.96000003814697,2.07442903518677,0,1,35,4,0,1,0,1,0,0,0,1,0,1225,10
11.5699996948242,2.44841551780701,0,0,38,3,0,1,0,0,1,0,1,0,1,1444,16
11.4200000762939,2.43536615371704,0,0,27,3,0,1,0,0,1,0,0,1,0,729,16
3.91000008583069,1.36353743076324,0,0,20,3,0,0,0,1,1,0,1,0,0,400,12
8.76000022888184,2.17019581794739,0,0,12,3,0,1,0,0,1,0,1,0,0,144,16
7.69000005722046,2.03992080688477,0,1,5,4,1,1,0,0,0,0,0,1,0,25,16
5,1.60943794250488,0,0,5,3,0,1,0,1,0,0,0,0,0,25,16
3.89000010490417,1.35840916633606,0,0,12,3,0,1,0,1,0,0,0,1,0,144,12
3.45000004768372,1.23837423324585,0,1,3,4,0,1,0,1,0,0,1,0,0,9,12
4.03000020980835,1.39376640319824,0,1,6,4,0,1,0,0,1,0,0,1,0,36,16
5.1399998664856,1.6370530128479,1,0,19,2,0,1,0,0,1,0,0,1,1,361,17
3,1.0986123085022,0,0,8,3,0,1,0,0,0,0,0,1,1,64,16
7.98999977111816,2.07819080352783,0,1,12,4,0,1,0,0,1,0,0,0,0,144,16
6.01000022888184,1.79342484474182,0,1,17,4,0,1,0,0,1,0,0,1,0,289,16
5.15999984741211,1.6409364938736,0,0,7,3,0,1,0,0,1,0,0,0,0,49,17
11.539999961853,2.44581913948059,0,1,12,4,0,1,0,0,1,1,0,1,1,144,17
10.4399995803833,2.34564447402954,0,1,10,4,0,1,0,1,0,0,1,0,0,100,17
7.69000005722046,2.03992080688477,0,0,7,3,0,1,0,1,1,0,0,0,1,49,16
7.69000005722046,2.03992080688477,0,1,7,4,1,1,0,0,0,0,0,1,0,49,17
6.78999996185303,1.9154509305954,0,0,19,3,0,1,0,0,1,0,0,1,1,361,14
6.86999988555908,1.92716407775879,0,0,33,3,0,1,0,0,1,0,1,0,1,1089,12
17.0300006866455,2.83497643470764,0,0,32,3,0,1,0,0,1,0,1,0,0,1024,13
10.0500001907349,2.30757260322571,0,1,12,4,0,1,0,0,1,0,1,0,0,144,13
15.8100004196167,2.76064276695251,0,1,24,4,0,1,0,0,1,1,0,1,1,576,17
14.8400001525879,2.69732618331909,0,1,29,5,0,1,0,0,0,1,1,0,1,841,13
19.0799999237061,2.94864058494568,0,1,17,5,0,1,0,0,0,0,1,0,0,289,17
8.35000038146973,2.12226152420044,1,0,41,1,0,0,0,0,1,1,1,0,1,1681,16
9.61999988555908,2.26384425163269,0,0,40,3,0,0,0,0,1,0,0,1,0,1600,16
5.96000003814697,1.78507053852081,0,0,10,3,0,1,0,0,1,0,0,1,0,100,14
5.73000001907349,1.74571549892426,0,0,43,3,0,0,0,0,1,0,0,1,0,1849,10
6.73000001907349,1.90657520294189,0,1,41,4,0,1,0,0,1,0,0,1,0,1681,10
8.17000007629395,2.10046887397766,1,0,18,2,0,1,0,0,1,0,0,1,0,324,16
12.3900003433228,2.51688981056213,0,1,28,4,0,1,0,0,1,0,1,0,0,784,12
9.61999988555908,2.26384425163269,1,0,37,2,0,1,0,0,1,0,1,0,0,1369,13
4.82999992370605,1.57484650611877,0,1,20,4,0,1,1,0,1,0,0,1,0,400,16
7.69000005722046,2.03992080688477,1,0,10,2,1,1,0,0,1,0,0,1,0,100,13
12.5,2.52572870254517,0,0,31,3,0,1,0,0,1,1,0,1,0,961,16
2.8199999332428,1.03673684597015,0,0,18,3,0,1,0,0,1,0,0,0,1,324,12
12.3100004196167,2.51041197776794,0,0,9,3,1,1,0,0,0,0,1,0,0,81,17
13.2200002670288,2.58173084259033,0,0,42,3,0,1,0,0,1,0,1,0,0,1764,16
16.8299999237061,2.82316303253174,0,1,14,4,0,1,0,0,1,1,1,0,0,196,16
11.539999961853,2.44581913948059,0,0,27,3,0,1,0,0,1,0,1,0,0,729,16
4.94999980926514,1.59938752651215,0,0,20,3,0,1,1,1,0,1,1,0,1,400,14
7.21000003814697,1.97546899318695,0,0,14,3,0,1,0,0,1,0,1,0,0,196,17
11.5799999237061,2.44927954673767,0,0,4,3,0,1,0,0,1,0,1,0,0,16,17
15.3800001144409,2.73306798934937,0,0,13,3,0,1,0,0,1,0,1,0,0,169,17
6.09999990463257,1.80828881263733,0,0,5,3,0,1,0,0,1,0,0,1,1,25,17
7.92999982833862,2.07065296173096,0,0,32,3,0,1,0,0,1,0,1,0,1,1024,17
9.15999984741211,2.21484613418579,0,1,19,4,1,1,0,1,1,0,1,0,1,361,17
6.90999984741211,1.93296957015991,0,1,14,4,0,1,0,1,0,1,1,0,1,196,17
20.1800003051758,3.00469207763672,0,0,28,3,0,1,0,0,1,0,1,0,1,784,17
9.93000030517578,2.29556059837341,0,0,31,3,1,1,0,0,1,1,0,1,0,961,17
7.78999996185303,2.05284094810486,0,1,18,4,0,1,0,0,1,0,0,1,0,324,13
5.13000011444092,1.63510572910309,0,0,23,3,0,1,0,0,1,0,0,0,1,529,5
10.9899997711182,2.39698576927185,0,1,14,4,0,1,0,0,1,1,0,1,0,196,16
6.55999994277954,1.8809906244278,1,0,17,2,0,1,0,0,1,0,0,1,0,289,13
10.1000003814697,2.31253552436829,0,0,16,3,0,1,0,0,1,0,1,0,0,256,13
10.7399997711182,2.37397503852844,0,0,19,3,0,1,0,0,1,0,0,0,0,361,16
16.3500003814697,2.79422783851624,0,0,26,3,0,1,0,0,1,0,1,0,0,676,17
4.61999988555908,1.53039467334747,0,1,20,4,0,1,0,1,1,1,0,1,1,400,12
7.48999977111816,2.01356887817383,0,0,18,3,0,1,0,0,1,0,0,0,0,324,17
19.2299995422363,2.95647144317627,0,0,35,3,0,1,0,0,1,0,1,0,0,1225,17
4.76999998092651,1.56234633922577,0,1,9,4,0,1,0,1,0,1,0,1,1,81,17
7.1399998664856,1.96571278572083,1,0,20,2,0,1,0,1,0,0,1,0,1,400,17
14.4200000762939,2.66861605644226,0,1,7,4,0,1,0,0,1,1,0,0,1,49,17
9.27999973297119,2.22786140441895,0,1,40,4,0,1,0,0,0,1,0,0,1,1600,17
29.9799995422363,3.40053057670593,0,0,12,3,0,1,0,0,1,0,0,1,1,144,17
32.7900009155273,3.49012351036072,0,1,33,4,0,1,0,0,1,0,0,1,1,1089,16
9.61999988555908,2.26384425163269,0,0,16,3,0,1,0,0,1,0,0,1,0,256,16
8.35999965667725,2.12345838546753,0,0,15,3,0,1,0,1,1,0,1,0,0,225,16
21.6299991607666,3.07408118247986,0,0,11,3,0,1,0,0,1,0,0,1,1,121,17
15.8999996185303,2.76631903648376,0,1,24,4,0,1,0,0,1,0,0,1,1,576,17
5.76999998092651,1.75267207622528,1,0,6,2,0,1,0,0,1,1,1,0,1,36,17
20.9899997711182,3.04404616355896,1,0,40,2,0,1,0,0,1,1,1,0,1,1600,17
23.3199996948242,3.14931130409241,0,1,15,5,0,1,0,0,1,1,0,0,1,225,17
4.96999979019165,1.6034197807312,0,1,9,4,0,1,0,0,1,0,0,1,1,81,17
6.8899998664856,1.93007111549377,1,0,16,2,0,1,0,0,1,1,0,0,0,256,17
5.73000001907349,1.74571549892426,1,0,12,2,0,1,0,1,0,1,1,0,1,144,13
5.19000005722046,1.64673376083374,0,0,8,3,0,1,0,0,1,0,0,1,1,64,17
7.78999996185303,2.05284094810486,0,0,25,3,1,1,0,1,0,0,0,1,1,625,17
8.78999996185303,2.1736147403717,0,0,24,3,1,1,0,1,1,0,0,0,1,576,16
9.31999969482422,2.23216271400452,0,1,25,4,1,1,0,1,0,1,0,1,0,625,17
8.32999992370605,2.11986351013184,0,1,7,4,0,1,0,1,0,1,1,0,1,49,17
10.1199998855591,2.31451368331909,0,0,40,3,0,1,1,1,0,0,0,1,1,1600,10
1.98000001907349,0.683096826076508,0,0,29,3,0,0,0,1,0,0,0,0,1,841,8
8.23999977111816,2.10900020599365,0,1,13,4,0,1,0,1,1,0,1,0,1,169,17
5.05000019073486,1.6193882226944,0,1,5,4,0,1,0,1,0,0,0,0,1,25,14
6.55000019073486,1.87946510314941,0,0,10,3,0,1,0,1,1,0,0,0,0,100,16
4.46999979019165,1.49738836288452,0,0,25,3,1,1,0,0,1,0,0,0,1,625,13
7.96000003814697,2.07442903518677,0,0,10,3,0,1,0,1,1,0,1,0,1,100,16
6.25,1.83258152008057,1,0,20,2,0,1,0,0,0,0,0,0,1,400,17
4.13000011444092,1.41827738285065,0,0,7,3,0,1,0,0,0,0,0,0,0,49,16
6.73000001907349,1.90657520294189,1,0,25,2,0,1,0,1,1,1,0,0,1,625,13
7.69000005722046,2.03992080688477,0,0,8,3,0,1,0,1,0,0,0,1,1,64,17
4.34999990463257,1.47017586231232,1,0,8,2,0,1,0,1,1,0,0,1,1,64,14
7.69000005722046,2.03992080688477,0,0,28,3,0,1,0,0,1,0,0,1,0,784,14
4.80999994277954,1.57069706916809,1,0,37,2,0,1,0,0,1,1,0,1,1,1369,16
5.23999977111816,1.65632140636444,0,0,31,3,0,1,0,0,1,0,0,0,1,961,17
2.14000010490417,0.760805904865265,0,1,24,4,0,1,0,0,1,0,0,0,1,576,16
4.48999977111816,1.50185263156891,0,1,33,4,0,1,0,0,1,0,0,0,1,1089,17
3.60999989509583,1.28370773792267,0,1,8,4,0,1,0,0,1,0,0,1,1,64,17
5.44999980926514,1.69561553001404,0,0,33,3,0,1,0,0,1,0,0,1,1,1089,17
5,1.60943794250488,0,0,30,3,0,1,0,0,1,0,0,0,1,900,17
6.73000001907349,1.90657520294189,0,0,23,3,0,1,0,0,1,0,0,1,1,529,17
10.0500001907349,2.30757260322571,0,0,24,3,0,1,0,0,1,0,0,0,0,576,16
6.53999996185303,1.87793719768524,0,1,4,4,0,1,0,0,1,0,0,1,0,16,17
9.19999980926514,2.21920347213745,0,0,40,3,0,1,0,1,0,0,0,0,1,1600,17
4.61999988555908,1.53039467334747,0,0,1,3,0,1,0,1,0,0,0,1,1,1,16
3.36999988555908,1.21491265296936,0,0,36,3,0,1,1,1,0,0,1,0,1,1296,13
5.53999996185303,1.71199452877045,0,1,7,4,0,1,0,1,0,0,0,1,1,49,17
6.1100001335144,1.80992674827576,0,1,7,5,0,1,0,1,1,0,0,0,0,49,12
4.98999977111816,1.60743582248688,0,0,14,3,0,1,0,1,0,0,0,1,1,196,13
5.88000011444092,1.77155673503876,0,0,7,3,0,1,0,1,1,0,0,1,1,49,17
5.65999984741211,1.73342382907867,0,1,11,4,1,1,0,1,0,1,0,1,1,121,16
4,1.3862943649292,0,0,6,3,0,1,0,0,1,0,0,1,1,36,16
6.86999988555908,1.92716407775879,0,0,23,3,0,1,0,1,1,0,0,0,1,529,16
4.36999988555908,1.47476303577423,1,0,19,2,0,1,0,1,0,0,0,0,1,361,17
5.76999998092651,1.75267207622528,0,0,30,3,0,1,0,0,1,1,0,1,0,900,13
5.76999998092651,1.75267207622528,0,1,21,4,0,1,0,0,1,1,0,0,1,441,17
12.3100004196167,2.51041197776794,0,1,9,4,0,1,0,0,1,0,1,0,1,81,17
19.0799999237061,2.94864058494568,0,0,29,3,1,1,0,0,1,1,0,1,1,841,17
7.55000019073486,2.02154755592346,0,0,9,3,0,1,0,1,0,0,0,0,1,81,17
5.90000009536743,1.77495241165161,0,1,18,4,0,1,0,1,0,0,0,0,1,324,17
6.36999988555908,1.85159945487976,0,0,26,3,0,1,0,1,0,1,0,0,1,676,17
6.15000009536743,1.81645214557648,0,1,21,4,1,1,0,0,1,0,0,0,1,441,17
1.91999995708466,0.65232515335083,1,0,12,2,1,1,0,1,1,1,0,1,1,144,17
3.26999998092651,1.18479001522064,0,0,11,3,0,1,0,0,0,0,0,1,1,121,17
2.1800000667572,0.779324889183044,0,1,18,4,0,1,0,0,0,0,0,1,1,324,17
5.61999988555908,1.72633159160614,0,0,22,3,0,1,0,0,1,0,0,1,1,484,17
9.28999996185303,2.22893857955933,0,1,38,4,0,1,0,1,0,0,0,0,1,1444,17
6.40999984741211,1.85785925388336,0,0,10,3,1,1,0,1,1,0,0,1,1,100,17
7.46000003814697,2.00955533981323,0,0,22,3,1,1,0,1,1,0,0,1,1,484,16
6.59000015258789,1.88555335998535,1,0,16,2,1,1,0,1,0,0,1,0,1,256,17
6.73000001907349,1.90657520294189,1,0,20,2,1,1,0,1,1,1,0,1,1,400,17
5.6100001335144,1.72455072402954,0,0,14,3,1,1,0,1,1,1,0,1,1,196,16
