"1","2","3","4","5"
37,22,99,41,10
47,50,60,25,59
84,82,14,90,47
29,65,85,84,83
100,89,5,43,21
19,19,25,77,16
11,41,55,99,63
36,27,72,12,51
98,71,51,21,73
60,6,10,63,78
69,14,30,53,3
86,95,26,88,65
48,94,60,71,1
57,92,49,82,43
6,33,48,77,34
22,62,78,23,8
11,59,44,72,32
45,67,50,100,58
0,90,17,20,98
83,88,73,47,4
23,15,50,95,66
21,82,62,23,19
19,35,90,15,97
88,51,45,97,53
3,36,9,37,34
76,8,30,26,80
3,68,54,49,4
56,51,75,78,0
50,79,57,14,43
50,82,100,24,56
91,85,85,38,85
11,96,49,36,31
1,46,25,69,31
72,49,78,37,83
88,40,72,18,49
47,6,66,69,34
27,25,21,98,55
60,96,22,52,10
22,91,10,24,72
80,12,87,31,45
15,98,29,15,69
54,18,42,15,26
30,59,52,53,60
72,67,90,5,45
16,53,62,33,72
50,75,4,38,9
67,39,47,98,61
80,25,58,27,72
35,39,27,22,95
76,7,36,59,44
74,28,71,80,3
92,31,28,59,12
91,85,48,50,35
66,43,3,49,51
91,56,33,47,0
60,80,25,31,100
52,60,52,40,36
26,100,88,73,36
60,84,12,15,78
46,64,41,46,10
60,58,60,7,93
22,20,49,22,87
85,34,47,53,71
18,0,13,33,48
4,83,83,78,44
36,41,45,66,30
86,5,40,21,45
34,0,15,61,81
25,4,50,1,92
23,46,69,81,44
26,60,59,17,98
90,76,11,76,52
73,58,93,85,84
11,48,23,86,65
43,72,85,92,36
73,95,45,59,2
94,21,52,27,37
30,85,75,72,49
8,14,38,69,86
61,61,1,20,57
31,15,11,38,69
27,79,13,93,63
6,58,21,93,42
90,25,8,86,73
37,35,21,8,50
14,60,84,37,74
94,52,68,7,54
90,29,40,76,18
43,72,77,14,88
46,86,70,12,40
76,43,7,24,17
7,45,41,65,47
8,100,61,29,86
95,68,49,75,20
9,16,25,70,48
50,67,4,86,92
74,59,37,39,46
82,82,12,37,54
92,77,59,52,38
23,82,6,92,99
69,83,87,40,12
24,32,99,47,50
5,25,45,15,90
0,96,96,65,15
48,48,94,93,57
42,35,48,42,23
73,15,50,15,75
33,69,82,89,78
2,10,36,79,2
1,89,5,63,57
89,14,60,33,63
36,69,99,53,9
0,91,52,21,19
10,61,1,52,41
97,64,26,96,25
75,81,46,52,96
61,41,64,6,82
0,35,99,72,22
52,91,43,15,89
59,93,17,94,68
23,4,95,99,2
7,2,94,70,1
59,37,100,33,77
21,94,40,64,35
18,82,63,77,70
34,58,59,81,22
53,3,19,3,93
78,67,77,5,50
2,17,59,90,23
44,54,57,72,18
27,72,12,89,53
7,45,93,91,49
78,65,80,23,64
71,16,70,35,82
69,53,86,39,36
56,87,23,71,48
9,59,18,78,2
10,82,61,43,27
80,14,37,14,42
44,68,66,0,81
17,65,85,11,77
94,90,17,21,60
43,62,15,45,2
50,59,65,33,80
50,90,46,56,5
43,63,2,3,12
48,16,83,25,67
53,81,20,98,68
16,11,3,24,51
65,94,36,41,8
90,60,89,63,98
34,100,39,28,75
49,82,19,85,55
10,88,30,42,13
22,67,55,89,33
70,36,72,19,57
51,79,0,44,8
92,28,27,58,66
76,68,72,79,50
0,85,87,18,11
56,98,100,31,99
37,94,32,44,94
58,13,62,90,34
67,98,44,46,12
44,92,20,44,96
6,95,65,8,62
51,35,78,68,0
88,96,24,22,86
52,89,52,64,0
5,96,81,18,56
32,89,17,45,99
88,12,99,23,30
78,38,40,75,24
69,88,19,56,2
60,32,34,98,58
96,68,83,82,34
48,80,72,67,65
60,29,26,77,76
76,14,45,48,46
78,16,88,38,47
43,21,40,63,41
69,59,85,65,73
58,89,84,17,17
22,59,45,56,89
28,92,2,81,43
30,39,46,9,90
41,9,91,81,67
86,78,22,89,71
22,99,21,95,20
36,69,0,100,23
87,16,19,39,39
77,53,81,69,23
81,97,21,75,8
55,7,19,19,92
58,92,42,95,59
2,76,55,35,37
49,74,22,98,14
4,96,66,73,25
32,84,95,27,11
12,93,70,44,46
22,89,87,62,40
10,71,58,74,50
46,14,4,16,28
23,62,55,81,43
72,9,42,93,8
87,34,57,6,9
52,49,46,68,26
83,56,0,95,87
12,76,58,52,19
93,67,38,68,66
